ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_type
hsa04140	hsa04140	Autophagy - animal	35/783	141/8464	3.60882812307862e-08	1.04984090853196e-06	7.21765624615725e-07	MAPK3/IGF1R/BCL2L1/PTEN/LAMP1/SH3GLB1/GABARAPL2/CTSD/RAF1/RAB7A/MAP1LC3B/ATG3/GABARAP/CFLAR/CAMKK2/ULK1/ATG7/PIK3CD/LAMP2/PRKCD/SQSTM1/DAPK2/RAB33B/RAB1A/DAPK1/RRAGC/PRKACA/RRAGD/ATG16L2/MAP1LC3B2/VMP1/ZFYVE1/MTMR3/MTMR14/NRBF2	35	PPI_node
hsa05417	hsa05417	Lipid and atherosclerosis	46/783	215/8464	3.95660874047647e-08	1.05509566412706e-06	7.25378269087354e-07	ABCG1/TLR4/RXRA/MAPK3/CDC42/CYP2J2/BCL2L1/STAT3/CD36/SOD2/TNFRSF1A/NFKBIA/MAPK14/TNFSF10/CYBA/ICAM1/NCF1/GSK3B/NLRP3/RAC1/VAV1/PIK3CD/HSPA1B/NCF4/NCF2/MAP3K5/TLR6/LYN/CCL5/HSPA1A/APAF1/ATF6/NFE2L2/DDIT3/MYD88/CYBB/MMP9/RHOA/CD14/PPP3R1/PPP3CA/BID/MAP2K4/MAPK13/HSPA6/TICAM2	46	PPI_node
hsa04670	hsa04670	Leukocyte transendothelial migration	30/783	114/8464	8.48980462203298e-08	1.99042911060939e-06	1.36842001354396e-06	ACTB/CDC42/PECAM1/MAPK14/VASP/RAC2/CYBA/ICAM1/PXN/NCF1/CTNNA1/GNAI2/RAC1/VAV1/PIK3CD/ITGB2/NCF4/NCF2/ITGAM/CYBB/MMP9/ACTN1/MSN/RHOA/RAPGEF3/GNAI3/SIPA1/MAPK13/PLCG2/F11R	30	PPI_node
hsa05132	hsa05132	Salmonella infection	50/783	249/8464	8.70812735891608e-08	1.99042911060939e-06	1.36842001354396e-06	GAPDH/ACTB/TLR4/MAPK3/CDC42/PTPRC/RAB5A/ARF1/TCF7L2/TNFRSF1A/NFKBIA/ARPC3/MAPK14/TNFSF10/TUBA4A/RAF1/ARPC1A/RAB7A/RHOB/PAK1/ARPC5/TUBA1A/FADD/NLRP3/TUBB4B/RAC1/PIK3CD/CASP4/TLR6/TLR9/MYD88/CYFIP1/TUBB2A/ARPC4/ARPC1B/RHOA/SNX18/CYTH4/CD14/RAB5B/RAB5C/NAIP/RHOG/PLEKHM1/ARL8A/PLEKHM2/MAP2K4/MAPK13/DYNC1LI1/STX10	50	PPI_node
hsa05167	hsa05167	Kaposi sarcoma-associated herpesvirus infection	42/783	194/8464	1.09833229269152e-07	2.34310889107525e-06	1.61088736261423e-06	MAPK3/STAT3/TCF7L2/TNFRSF1A/NFKBIA/MAPK14/RAF1/E2F3/ICAM1/MAP1LC3B/IFNAR1/ATG3/FADD/GSK3B/E2F1/RAC1/ZFP36/PIK3CD/SYK/LYN/HCK/UBC/PTGS2/PREX1/HLA-C/HLA-B/HLA-E/GNB1/MAPKAPK2/PPP3R1/PPP3CA/BID/MAP2K4/MAP1LC3B2/GNB2/GNB4/GNG11/MAPK13/PLCG2/IFNGR1/GNG5/IFNAR2	42	PPI_node
hsa05135	hsa05135	Yersinia infection	33/783	137/8464	1.91129380479168e-07	3.82258760958337e-06	2.62802898158856e-06	ACTB/TLR4/MAPK3/CDC42/NFKBIA/ARPC3/MAPK14/RAC2/ARPC1A/PXN/FCGR2A/GNAQ/ITGA5/ARPC5/BAIAP2/WIPF2/GSK3B/NLRP3/RAC1/VAV1/PIK3CD/RPS6KA1/MYD88/ARPC4/ARPC1B/WAS/RHOA/MEFV/SKAP2/CRK/RHOG/MAP2K4/MAPK13	33	PPI_node
hsa05140	hsa05140	Leishmaniasis	23/783	77/8464	2.33280443113737e-07	4.39116128214094e-06	3.0189233814719e-06	TLR4/MAPK3/NFKBIA/TGFB1/MAPK14/CYBA/FCGR2A/NCF1/ITGB2/NCF4/FCGR3B/NCF2/MYD88/ITGAM/CYBB/PTGS2/CR1/FCGR1A/PTPN6/MAPK13/IFNGR1/CR1L/IFNGR2	23	PPI_node
hsa04142	hsa04142	Lysosome	32/783	132/8464	2.50315491512836e-07	4.45005318245042e-06	3.05941156293466e-06	GAA/CD68/NPC2/PPT1/LAMP1/CTSD/LAMP2/CD63/LAPTM5/CTSS/GLB1/SLC11A1/SORT1/CLTB/CTSZ/GNS/ATP6V0A1/IGF2R/CLTCL1/ASAH1/ATP6V0D1/GLA/DMXL2/TCIRG1/ATP6V0B/CTSA/LAPTM4A/NEU1/HYAL2/NAGA/LITAF/HYAL1	32	PPI_node
hsa04613	hsa04613	Neutrophil extracellular trap formation	40/783	191/8464	5.57723248749115e-07	9.39323366314298e-06	6.4578481434108e-06	ACTB/TLR4/MAPK3/HDAC7/PPIF/HDAC5/MAPK14/RAC2/RAF1/CYBA/HDAC4/FCGR2A/NCF1/TLR8/ATG7/RAC1/FPR1/PIK3CD/ITGB2/NCF4/FCGR3B/NCF2/CASP4/SYK/ITGAM/CYBB/CAMP/CLEC7A/FPR2/CR1/FCGR1A/PADI4/SIGLEC9/SELPLG/AQP9/C5AR1/CLCN4/MAPK13/PLCG2/CR1L	40	PPI_node
hsa04621	hsa04621	NOD-like receptor signaling pathway	38/783	186/8464	2.03138424692981e-06	3.2502147950877e-05	2.23452267162279e-05	CARD6/TLR4/MAPK3/BCL2L1/MFN2/GABARAPL2/NFKBIA/NAMPT/MAPK14/CYBA/MAP1LC3B/IFNAR1/NOD2/FADD/GABARAP/NLRP3/AIM2/RNASEL/PSTPIP1/CASP4/CCL5/PRKCD/MYD88/CYBB/RHOA/TRIP6/GPSM3/MEFV/CAMP/NLRX1/NLRP12/NAIP/ANTXR2/SHARPIN/MAP1LC3B2/MAPK13/TRPM2/IFNAR2	38	PPI_node
hsa04722	hsa04722	Neurotrophin signaling pathway	28/783	119/8464	2.6547160481139e-06	4.04528159712595e-05	2.78113109802409e-05	MAPK3/CDC42/NGFR/NFKBIA/MAPK14/RAF1/GSK3B/PSEN1/RAC1/PIK3CD/MAP3K5/RPS6KA1/FOXO3/PRKCD/GRB2/RHOA/MAPKAPK2/CRK/SORT1/ARHGDIB/SH2B3/SOS2/GAB1/MAPK13/NFKBIE/PLCG2/IRAK3/MAP3K3	28	PPI_node
hsa05163	hsa05163	Human cytomegalovirus infection	43/783	225/8464	2.8156687827878e-06	4.09551822950953e-05	2.8156687827878e-05	MAPK3/STAT3/SP1/TNFRSF1A/NFKBIA/MAPK14/RAC2/RAF1/E2F3/PXN/GNAQ/FADD/GNAI2/CXCR2/GSK3B/E2F1/RAC1/PIK3CD/IL6R/IL1R1/CCL5/PTGS2/GRB2/RHOA/HLA-C/HLA-B/HLA-E/GNB1/GNAI3/PPP3R1/PPP3CA/BID/CRK/PRKACA/ARHGEF11/SOS2/GNB2/GNB4/GNG11/CREB5/MAPK13/GNG5/IL10RB	43	PPI_node
hsa04010	hsa04010	MAPK signaling pathway	53/783	302/8464	3.02899861773371e-06	4.21425894641212e-05	2.89730302565833e-05	MAPK3/IGF1R/CDC42/TNFRSF1A/NGFR/TGFB1/MAPK14/RAC2/RAF1/PAK1/RAC1/HSPA1B/IL1R1/MAP3K5/TGFBR2/NFKB2/RPS6KA1/HSPA1A/DDIT3/MYD88/GRB2/CD14/ARRB2/MAPKAPK2/PPP3R1/PPP3CA/CRK/MAPKAPK3/PAK2/PRKACA/MAP3K11/JUND/SOS2/MAP2K4/CACNA1E/EFNA5/MAPK13/HSPA6/DUSP3/RASGRP4/TGFA/EFNA1/MAP3K3/MAP3K2/MAP3K6/MAP4K4/DUSP6/PDGFD/IL1RAP/STK3/RAPGEF2/MKNK2/MKNK1	53	PPI_node
hsa04650	hsa04650	Natural killer cell mediated cytotoxicity	29/783	132/8464	7.58420387252919e-06	0.000101122718300389	6.95218688315176e-05	MAPK3/TNFSF10/RAC2/RAF1/ICAM1/IFNAR1/PAK1/RAC1/VAV1/PIK3CD/ITGB2/FCGR3B/SYK/GRB2/TYROBP/HLA-C/HLA-B/HLA-E/PPP3R1/PPP3CA/BID/KLRC1/PTPN6/SOS2/PLCG2/LAT2/IFNGR1/IFNGR2/IFNAR2	29	PPI_node
hsa05134	hsa05134	Legionellosis	17/783	57/8464	8.9677618023108e-06	0.000114787351069578	7.8916303860335e-05	TLR4/ARF1/NFKBIA/ITGB2/HSPA1B/NFKB2/HSPA1A/APAF1/MYD88/ITGAM/CD14/RAB1B/RAB1A/NAIP/CR1/HSPA6/CR1L	17	PPI_node
hsa05100	hsa05100	Bacterial invasion of epithelial cells	20/783	77/8464	1.50228471347836e-05	0.000184896580120413	0.000127116398832784	ACTB/CDC42/ARPC3/ARPC1A/CBL/PXN/ITGA5/ARPC5/CTNNA1/HCLS1/RAC1/PIK3CD/ARPC4/ARPC1B/RHOA/CRK/CLTB/CLTCL1/RHOG/GAB1	20	PPI_node
hsa04015	hsa04015	Rap1 signaling pathway	38/783	210/8464	3.84071642073659e-05	0.000455196020235447	0.00031294726391187	ACTB/MAPK3/IGF1R/CDC42/NGFR/MAPK14/VASP/RAC2/RAF1/GNAQ/GNAI2/TLN1/RAC1/FPR1/VAV1/PIK3CD/ITGB2/ITGAM/RHOA/ADORA2A/RAPGEF3/APBB1IP/GNAI3/CRK/ARAP3/SIPA1/LPAR1/LPAR2/EFNA5/SIPA1L2/MAPK13/ID1/EFNA1/SIPA1L1/RGS14/RALB/PDGFD/RAPGEF2	38	PPI_node
hsa04810	hsa04810	Regulation of actin cytoskeleton	40/783	229/8464	5.55502131654396e-05	0.000634859579033596	0.000436465960585597	ACTB/MAPK3/CDC42/ITGB4/ARPC3/RAC2/RAF1/ARPC1A/SLC9A1/PXN/IQGAP1/PAK1/ITGA5/ARPC5/BAIAP2/RAC1/VAV1/PIK3CD/ITGB2/ITGAX/CYFIP1/ITGAM/ARPC4/ARPC1B/GSN/ACTN1/MSN/RHOA/CFL1/SSH2/CRK/PAK2/FGD3/LIMK2/LPAR1/LPAR2/SOS2/PPP1R12B/SSH3/PDGFD	40	PPI_node
hsa04625	hsa04625	C-type lectin receptor signaling pathway	23/783	104/8464	5.86693267442349e-05	0.000647385674419143	0.000445077651163161	MAPK3/NFKBIA/MAPK14/IRF1/RAF1/PAK1/NLRP3/PIK3CD/NFKB2/SYK/PRKCD/PTGS2/RHOA/LSP1/CLEC7A/MAPKAPK2/PPP3R1/PPP3CA/BCL10/BCL3/MAPK13/PLCG2/PLK3	23	PPI_node
hsa04664	hsa04664	Fc epsilon RI signaling pathway	17/783	68/8464	0.00010906980243904	0.00116341122601642	0.000799845217886292	MAPK3/MAPK14/RAC2/RAF1/RAC1/VAV1/PIK3CD/SYK/ALOX5/LYN/GRB2/ALOX5AP/GAB2/SOS2/MAP2K4/MAPK13/PLCG2	17	PPI_node
hsa05110	hsa05110	Vibrio cholerae infection	14/783	50/8464	0.00011857520625735	0.00122400212910813	0.000841501463761837	ACTB/ARF1/ATP6V1A/ATP6V1E1/KCNQ1/ATP6V0A1/PRKACA/ATP6V0D1/ATP6V1C1/TCIRG1/ATP6V0E1/ATP6V0B/ATP6V1B2/PLCG2	14	PPI_node
hsa04064	hsa04064	NF-kappa B signaling pathway	22/783	104/8464	0.000168909966806225	0.00168909966806225	0.0011612560217928	TLR4/BCL2L1/TNFRSF1A/NFKBIA/ICAM1/BCL2A1/CFLAR/PLAU/IL1R1/NFKB2/SYK/LYN/MYD88/PTGS2/CD14/BCL10/LTBR/TNFSF14/PLCG2/TRIM25/TNFRSF11A/TICAM2	22	PPI_node
hsa04370	hsa04370	VEGF signaling pathway	15/783	59/8464	0.000224144298825022	0.00205771269409742	0.00141467747719197	MAPK3/CDC42/MAPK14/RAC2/RAF1/PXN/RAC1/PIK3CD/PTGS2/MAPKAPK2/PPP3R1/PPP3CA/MAPKAPK3/MAPK13/PLCG2	15	PPI_node
hsa04216	hsa04216	Ferroptosis	12/783	41/8464	0.000228393140118789	0.00205771269409742	0.00141467747719197	ACSL1/ACSL4/LPCAT3/SLC40A1/MAP1LC3B/ATG7/CYBB/SAT1/MAP1LC3B2/STEAP3/NCOA4/PCBP1	12	PPI_node
hsa04137	hsa04137	Mitophagy - animal	17/783	72/8464	0.000231169502013975	0.00205771269409742	0.00141467747719197	BCL2L1/SP1/MFN2/TFEB/GABARAPL2/RAB7A/MAP1LC3B/GABARAP/ULK1/E2F1/FOXO3/SQSTM1/UBC/MAP1LC3B2/NBR1/BNIP3L/TFE3	17	PPI_node
hsa05170	hsa05170	Human immunodeficiency virus 1 infection	36/783	212/8464	0.000231492678085959	0.00205771269409742	0.00141467747719197	TLR4/MAPK3/BCL2L1/TNFRSF1A/NFKBIA/MAPK14/RAC2/RAF1/PXN/PAK1/GNAQ/FADD/GNAI2/RAC1/PIK3CD/MYD88/CFL1/APOBEC3A/TNFRSF1B/HLA-C/HLA-B/HLA-E/GNB1/GNAI3/PPP3R1/PPP3CA/BID/CRK/PAK2/LIMK2/GNB2/GNB4/GNG11/MAPK13/PLCG2/GNG5	36	PPI_node
hsa04668	hsa04668	TNF signaling pathway	23/783	114/8464	0.000254487970340179	0.00220097704077992	0.0015131717155362	MAPK3/TNFRSF1A/NFKBIA/MAPK14/IRF1/JAG1/ICAM1/NOD2/FADD/CEBPB/CFLAR/SOCS3/PIK3CD/MAP3K5/CCL5/PTGS2/MMP9/TNFRSF1B/MAP2K4/CREB5/BCL3/MAPK13/JUNB	23	PPI_node
hsa04360	hsa04360	Axon guidance	32/783	182/8464	0.00026721199153073	0.00225020624446931	0.00154701679307265	MAPK3/CDC42/RAC2/RAF1/PAK1/GNAI2/GSK3B/RAC1/PIK3CD/RHOA/CFL1/SSH2/GNAI3/PPP3R1/PPP3CA/SRGAP1/PAK2/LIMK2/PLXNB2/PLXNC1/EFNA5/PLCG2/SEMA4A/PLXNA2/EPHB1/EFNA1/FES/NTNG2/SSH3/LRRC4/SEMA4B/SEMA6B	32	PPI_node
hsa05221	hsa05221	Acute myeloid leukemia	16/783	67/8464	0.000305182446312137	0.00250406109794574	0.0017215420048377	MAPK3/STAT3/TCF7L2/SPI1/RAF1/BCL2A1/STAT5B/STAT5A/PIK3CD/ITGAM/GRB2/CD14/RARA/FCGR1A/SOS2/DUSP6	16	PPI_node
hsa05142	hsa05142	Chagas disease	21/783	102/8464	0.000349299174080483	0.00279439339264387	0.00192114545744266	TLR4/MAPK3/TNFRSF1A/NFKBIA/TGFB1/MAPK14/GNAQ/FADD/CFLAR/GNAI2/PIK3CD/TLR6/TGFBR2/TLR9/CCL5/MYD88/GNAI3/MAP2K4/MAPK13/IFNGR1/IFNGR2	21	PPI_node
hsa05235	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	19/783	89/8464	0.000408073214209042	0.00318496167187545	0.00218966114941437	TLR4/MAPK3/STAT3/PTEN/NFKBIA/MAPK14/RAF1/PIK3CD/TLR9/MYD88/PPP3R1/PPP3CA/PTPN6/MAPK13/NFKBIE/IFNGR1/TICAM2/MAP3K3/IFNGR2	19	PPI_node
hsa05211	hsa05211	Renal cell carcinoma	16/783	69/8464	0.000435872588801124	0.00332093400991333	0.00228314213181541	MAPK3/CDC42/TGFB1/RAF1/PAK1/RAC1/PIK3CD/EGLN1/GRB2/CRK/PAK2/SOS2/GAB1/TFE3/EGLN2/TGFA	16	PPI_node
hsa05220	hsa05220	Chronic myeloid leukemia	17/783	76/8464	0.0004581323932363	0.00334770026245685	0.00230154393043908	MAPK3/BCL2L1/NFKBIA/TGFB1/RAF1/E2F3/CBL/STAT5B/STAT5A/E2F1/PIK3CD/TGFBR2/GRB2/CRK/CTBP2/GAB2/SOS2	17	PPI_node
hsa04620	hsa04620	Toll-like receptor signaling pathway	21/783	104/8464	0.000460308786087816	0.00334770026245685	0.00230154393043908	TLR4/MAPK3/NFKBIA/MAPK14/IFNAR1/FADD/TLR8/RAC1/PIK3CD/TLR6/TLR1/TLR9/CCL5/SPP1/MYD88/CD14/MAP2K4/MAPK13/TICAM2/TOLLIP/IFNAR2	21	PPI_node
hsa04210	hsa04210	Apoptosis	25/783	136/8464	0.000620248537452716	0.00441065626633042	0.00303232618310217	ACTB/MAPK3/BCL2L1/TNFRSF1A/NFKBIA/CTSD/TNFSF10/TUBA4A/RAF1/BCL2A1/TUBA1A/FADD/CFLAR/PIK3CD/CAPN1/MAP3K5/APAF1/DDIT3/BCL2L11/MCL1/CTSS/CSF2RB/BID/BBC3/CTSZ	25	PPI_node
hsa01521	hsa01521	EGFR tyrosine kinase inhibitor resistance	17/783	79/8464	0.000735755736905332	0.00511830077847187	0.00351883178519941	MAPK3/IGF1R/BCL2L1/STAT3/PTEN/RAF1/GSK3B/PIK3CD/IL6R/FOXO3/BCL2L11/GRB2/SOS2/GAB1/PLCG2/TGFA/PDGFD	17	PPI_node
hsa04659	hsa04659	Th17 cell differentiation	21/783	108/8464	0.000777187401484961	0.00529148869096144	0.00363789847503599	RXRA/MAPK3/STAT3/NFKBIA/TGFB1/MAPK14/STAT5B/STAT5A/IL6R/IL1R1/TGFBR2/PPP3R1/PPP3CA/RARA/MAPK13/NFKBIE/JAK3/IL4R/IFNGR1/IFNGR2/IL1RAP	21	PPI_node
hsa04066	hsa04066	HIF-1 signaling pathway	21/783	109/8464	0.000880993801942463	0.00587329201294975	0.00403788825890295	GAPDH/TLR4/MAPK3/IGF1R/STAT3/PFKFB3/HK2/ENO1/PIK3CD/IL6R/EGLN1/CYBB/PGK1/HK3/LTBR/PLCG2/EGLN2/IFNGR1/IFNGR2/MKNK2/MKNK1	21	PPI_node
hsa04014	hsa04014	Ras signaling pathway	37/783	236/8464	0.000929720504436073	0.00607164411060292	0.00417425532603951	MAPK3/IGF1R/CDC42/BCL2L1/RAB5A/NGFR/RAC2/RAF1/PAK1/RAC1/PIK3CD/GRB2/RHOA/GNB1/RAB5B/RAB5C/ETS2/RALBP1/PAK2/RGL2/PRKACA/GAB2/SOS2/GAB1/GNB2/EFNA5/GNB4/GNG11/PLCG2/RASGRP4/TGFA/EFNA1/GNG5/SHOC2/RALB/PDGFD/RALGAPA2	37	PPI_node
hsa05205	hsa05205	Proteoglycans in cancer	33/783	205/8464	0.00109212117345039	0.00698957551008247	0.0048053331631817	ACTB/TLR4/MAPK3/IGF1R/CDC42/STAT3/TGFB1/MAPK14/RAF1/SLC9A1/CBL/PXN/IQGAP1/PAK1/ITGA5/HCLS1/PLAUR/RAC1/VAV1/PIK3CD/PLAU/CD63/MMP9/GRB2/MSN/RHOA/PTPN6/PRKACA/SOS2/GAB1/MAPK13/PLCG2/PPP1R12B	33	PPI_node
hsa04660	hsa04660	T cell receptor signaling pathway	20/783	104/8464	0.00118575053867678	0.00744000337993275	0.00511500232370376	MAPK3/CDC42/PTPRC/NFKBIA/MAPK14/RAF1/PAK1/GSK3B/VAV1/PIK3CD/GRB2/RHOA/PPP3R1/PPP3CA/BCL10/PTPN6/PAK2/SOS2/MAPK13/NFKBIE	20	PPI_node
hsa04330	hsa04330	Notch signaling pathway	14/783	62/8464	0.00129159205583825	0.00794825880515847	0.00546442792854645	NOTCH1/JAG1/NOTCH2/PSEN1/HEY1/RBPJ/NCSTN/ATXN1/CTBP2/DTX2/NUMB/CIR1/TLE3/MAML3	14	PPI_node
hsa05133	hsa05133	Pertussis	16/783	76/8464	0.00133607857521705	0.00806688951074446	0.00554598653863682	TLR4/MAPK3/MAPK14/IRF1/ITGA5/GNAI2/NLRP3/ITGB2/MYD88/ITGAM/RHOA/CFL1/CD14/GNAI3/MAPK13/TICAM2	16	PPI_node
hsa04071	hsa04071	Sphingolipid signaling pathway	22/783	121/8464	0.00149238712062598	0.00884377552963544	0.00608009567662437	MAPK3/PTEN/TNFRSF1A/MAPK14/CTSD/RAC2/RAF1/GNAQ/GNAI2/RAC1/PIK3CD/MAP3K5/RHOA/S1PR4/GNAI3/BID/GAB2/PPP2R5A/ASAH1/SGMS2/MAPK13/S1PR3	22	PPI_node
hsa04917	hsa04917	Prolactin signaling pathway	15/783	70/8464	0.00154989097134281	0.00901754746963092	0.00619956388537126	MAPK3/STAT3/MAPK14/IRF1/RAF1/STAT5B/GSK3B/SOCS3/STAT5A/PIK3CD/FOXO3/GRB2/SOS2/MAPK13/TNFRSF11A	15	PPI_node
hsa04658	hsa04658	Th1 and Th2 cell differentiation	18/783	92/8464	0.00167285693887799	0.00955918250787422	0.00657193797416352	MAPK3/NOTCH1/NFKBIA/MAPK14/JAG1/NOTCH2/STAT5B/STAT5A/RBPJ/PPP3R1/PPP3CA/MAPK13/NFKBIE/JAK3/IL4R/IFNGR1/IFNGR2/MAML3	18	PPI_node
hsa04068	hsa04068	FoxO signaling pathway	23/783	131/8464	0.00190712138123862	0.0107066463508133	0.00736081936618416	MAPK3/IGF1R/STAT3/PTEN/SOD2/GABARAPL2/TGFB1/MAPK14/TNFSF10/RAF1/GABARAP/PIK3CD/BCL6/TGFBR2/SGK1/FOXO3/BCL2L11/GRB2/S1PR4/HOMER3/SOS2/MAPK13/PLK3	23	PPI_node
