ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_type
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	74/1376	414/18903	4.06762385232579e-13	1.55383231158845e-10	1.10839181884779e-10	TNIP1/ACTB/PECAM1/PTPRC/PTEN/SMARCD3/CORO1A/SELL/IRF1/RAC2/ICAM1/CCR2/STAT5B/ITGA5/NOD2/FADD/CEBPB/NLRP3/VAV1/S100A8/ITGB2/FLOT2/GLI3/BCL6/TGFBR2/SYK/ALOX5/LYN/CCL5/FOXO3/MSN/RHOA/CSK/ADAM8/LILRB2/HLA-E/ADORA2A/FCHO1/NFKBIZ/LAPTM5/TNFAIP8L2/PPP3CA/CEACAM1/RARA/CR1/CD1D/FGL2/MADCAM1/SIRPA/BCL10/SELPLG/FERMT3/PTPN6/VSIG4/TNFSF14/CD55/SIRPB1/PTAFR/HFE/IL4I1/PELI1/JAK3/PRKAR1A/LILRB4/DUSP3/IL1RL2/IL4R/ZBTB7B/CD300A/LGALS9/EXT1/F11R/LRG1/HLX	74	PPI_node
GO:0031349	GO:0031349	positive regulation of defense response	61/1376	307/18903	4.44584527793485e-13	1.59216834016042e-10	1.1357379746198e-10	TNIP1/TLR4/MAPK3/LAMP1/GRN/TNFRSF1A/NFKBIA/SPI1/CYBA/PAK1/CCR2/STAT5B/LRRK2/NOD2/FADD/CEBPB/TLR8/NLRP3/SNCA/VAV1/S100A8/AIM2/CASP4/SYK/LYN/TLR9/CCL5/HCK/PTGS2/ADAM8/OSM/TYROBP/ZNFX1/HLA-E/GPSM3/CLEC7A/NLRP12/NAIP/AKIRIN2/NFKBIZ/MGST2/MNDA/FPR2/ALOX5AP/S100A12/CD1D/FCGR1A/PAK2/TRPV4/MAPK13/PLCG2/NMI/FCN1/TNFRSF11A/IL17RA/CDK19/LILRA2/HYAL2/CLNK/F2RL1/SLC15A4	61	PPI_node
GO:0032635	GO:0032635	interleukin-6 production	43/1376	176/18903	1.02177670132959e-12	3.25265583256587e-10	2.32020990132328e-10	TLR4/STAT3/CD36/CYBA/NOD2/CEBPB/TLR8/IL6R/TLR6/TLR1/SYK/TLR9/MBP/MYD88/CSK/TYROBP/LILRB2/HLA-B/ARRB2/CLEC7A/NLRX1/NLRP12/AKIRIN2/MAPKAPK2/SIRPA/BCL10/PTPN6/ARHGEF2/ARID5A/PTAFR/C5AR2/TRPV4/MAPK13/PLCG2/IRAK3/LILRB4/IL1RL2/IL17RA/LILRA2/LGALS9/HYAL2/F2RL1/IL1RAP	43	PPI_node
GO:0007033	GO:0007033	vacuole organization	48/1376	213/18903	1.23572485346392e-12	3.72668600544646e-10	2.65834881218859e-10	GAA/PPT1/RAB5A/MFN2/SH3GLB1/TFEB/GABARAPL2/GRN/CORO1A/CTSD/RAB7A/MAP1LC3B/ATP6V1A/ATG3/LRRK2/GABARAP/ULK1/PSEN1/ATG7/MYO7A/SNX18/RAB33B/RAB1B/LYST/RAB34/RAB1A/LAPTM5/CHMP1A/CHMP4B/ATP6V0A1/ATG16L2/MAP1LC3B2/VMP1/STX12/TCIRG1/ATP6V0B/CLN6/CHMP2A/MTMR3/TPCN2/EXT1/TOM1/RALB/NSFL1C/PHF23/UBXN2B/TBC1D14/RAB43	48	PPI_node
GO:0022407	GO:0022407	regulation of cell-cell adhesion	81/1376	490/18903	2.27498556304759e-12	6.20746060774414e-10	4.42795435654827e-10	MYADM/ABAT/ACTB/PTPRC/NOTCH1/PTEN/SMARCD3/CORO1A/TGFB1/SPI1/MAPK14/IRF1/JAG1/CCR2/STAT5B/NOD2/FADD/CEBPB/NLRP3/PLAUR/VAV1/ITGB2/FLOT2/FLOT1/GLI3/BCL6/TGFBR2/SYK/ALOX5/LYN/CCL5/MBP/FOXO3/PRKCD/MYO10/RHOA/CSK/ADAM19/ADAM8/LILRB2/HLA-E/ADORA2A/FCHO1/NFKBIZ/LAPTM5/TNFAIP8L2/PPP3CA/CEACAM1/RARA/CR1/CD1D/FGL2/SIRPA/BCL10/FERMT3/PTPN6/VSIG4/IL1RN/TNFSF14/CD55/SH2B3/SIRPB1/PTAFR/TRPV4/EFNA5/HFE/IL4I1/PELI1/JAK3/PRKAR1A/LILRB4/DUSP3/IL1RL2/IL4R/ZBTB7B/CD300A/LGALS9/PPM1F/F11R/SPINT2/HLX	81	PPI_node
GO:0002831	GO:0002831	regulation of response to biotic stimulus	66/1376	361/18903	2.69748008629042e-12	7.02117528651615e-10	5.0083996762271e-10	NR1H2/TLR4/MAPK3/LAMP1/CD36/GRN/SPI1/IRF1/CYBA/PAK1/NCF1/STAT5B/NOD2/FADD/TLR8/VAV1/AIM2/SYK/LYN/TLR9/CCL5/HCK/NFE2L2/ADAM8/TYROBP/CD14/RNF135/ADAR/ZNFX1/HLA-B/HLA-E/ARRB2/CLEC7A/NLRX1/AKIRIN2/MNDA/FGR/FPR2/CEACAM1/CR1/CD1D/FGL2/KLRC1/DAPK1/CRK/PTPN6/VSIG4/CD55/PAK2/NFKBIL1/IL4I1/PLCG2/NMI/IRAK3/MUL1/FCN1/LILRA2/LGALS9/TRIB1/CLNK/F2RL1/TRIM21/SEC14L1/ZDHHC18/N4BP1/SLC15A4	66	PPI_node
GO:0071496	GO:0071496	cellular response to external stimulus	62/1376	328/18903	2.81827280261556e-12	7.02117528651615e-10	5.0083996762271e-10	GLUL/CD68/TLR4/RXRA/MAPK3/IGF1R/PTPRC/PLIN3/SP1/NCOA1/SH3GLB1/TFEB/GABARAPL2/TNFRSF1A/IRF1/CYBA/CNN2/SLC9A1/CBL/MAP1LC3B/LRRK2/FADD/GABARAP/TLR8/ULK1/ATG7/VDR/MAP3K5/PPP1R9B/LAMP2/LYN/NFE2L2/FOXO3/MYD88/PTGS2/CDA/BCL10/LTBR/TNFSF14/RRAGC/CPEB4/SIPA1/MAP2K4/ASGR1/RRAGD/MAP1LC3B2/ZFYVE1/ATP2B1/FNIP1/MN1/NUAK2/TNFRSF11A/FES/MAP3K2/MTMR3/F11R/DSC2/DAP/KCNJ2/KCNB1/RALB/PPM1D	62	PPI_node
GO:0002443	GO:0002443	leukocyte mediated immunity	77/1376	463/18903	5.92277304030177e-12	1.27228014942799e-09	9.07552828185705e-10	TLR4/PTPRC/LAMP1/CORO1A/TGFB1/SPI1/RAC2/JAG1/CBL/ICAM1/CCR2/STAT5B/NOD2/FADD/TLR8/NLRP3/TUBB4B/VAV1/PIK3CD/ITGB2/IL1R1/BCL6/SYK/LYN/TLR9/PRKCD/MYD88/ITGAM/WAS/TYROBP/TNFRSF1B/HLA-B/HLA-E/ARRB2/LYST/CLEC7A/FGR/CSF2RB/TNFSF13/CEACAM1/CR1/CD1D/FCGR1A/STXBP2/KLRC1/BCL10/CRK/PTPN6/TREM1/CD55/SNAP23/ARID5A/GAB2/UNC13D/PLEKHM2/PTAFR/TCIRG1/HFE/IL4I1/BCL3/PLCG2/JAK3/LILRB4/C1RL/MRGPRX2/LAT2/IL4R/CD300A/MILR1/LGALS9/FES/CLNK/CR1L/PRAM1/F2RL1/RNF19B/SLC15A4	77	PPI_node
GO:0016236	GO:0016236	macroautophagy	60/1376	317/18903	5.99503735332561e-12	1.27228014942799e-09	9.07552828185705e-10	GAA/GAPDH/MAPK3/RAB5A/MFN2/SH3GLB1/GABARAPL2/CTSD/TSG101/RAB7A/MAP1LC3B/ATP6V1A/ATG3/LRRK2/NOD2/GABARAP/ULK1/PSEN1/ATG7/CAPN1/LAMP2/SQSTM1/ATP6V1E1/SNX18/RAB33B/RAB1B/RAB1A/CHMP1A/GNAI3/WDFY3/CHMP4B/ATP6V0A1/PLEKHM1/PRKACA/ATG16L2/MAP1LC3B2/NBR1/VMP1/BNIP3L/ZFYVE1/ATP6V0D1/ATP6V1C1/STX12/TCIRG1/ATP6V0E1/ATP6V0B/ATP6V1B2/QSOX1/CHMP2A/MTMR3/MTMR14/VPS37B/VPS37C/TOM1/RALB/NSFL1C/PHF23/UBXN2B/TBC1D14/RAB43	60	PPI_node
GO:0050900	GO:0050900	leukocyte migration	69/1376	398/18903	1.10170729911767e-11	2.15369283401262e-09	1.53628901891633e-09	MAPK3/CDC42/PECAM1/CORO1A/SPI1/SELL/RAC2/CNN2/ICAM1/CCR2/STAT5B/NOD2/FADD/CXCR2/RAC1/VAV1/PIK3CD/S100A8/ITGB2/IL6R/IL1R1/SYK/ALOX5/LYN/CCL5/HCK/MYD88/MMP9/MSN/RHOA/DAPK2/PREX1/ADAM8/LYST/GPSM3/NLRP12/FPR2/S100A12/PADI2/CXCR1/MADCAM1/SIRPA/SELPLG/CRK/CSF3R/TREM1/CAMK1D/TNFSF14/NEDD9/RHOG/C5AR1/PTAFR/C5AR2/F7/TRPV4/BST1/RIN3/TNFRSF11A/IL17RA/CD300A/LGALS9/EXT1/CKLF/F11R/TRPM2/F2RL1/PDGFD/MOSPD2/SLC8B1	69	PPI_node
GO:0019221	GO:0019221	cytokine-mediated signaling pathway	80/1376	496/18903	1.1275878712108e-11	2.15369283401262e-09	1.53628901891633e-09	NR1H2/MAPK3/PTPRC/STAT3/NOTCH1/ACSL1/AGPAT1/TNFRSF1A/NFKBIA/SPI1/IRF1/CBL/IFNAR1/CCR2/STAT5B/FADD/CXCR2/STAT5A/AIM2/HSPA1B/IL6R/IL1R1/CASP4/SYK/LYN/CCL5/HSPA1A/HCK/FOXO3/MYD88/OSM/LILRB2/ADAR/TNFRSF1B/IFITM2/NAIP/LAPTM5/CSF2RB/TBKBP1/PADI2/CEACAM1/CXCR1/DOK1/PTPN6/CSF3R/LILRA1/IL1RN/SHARPIN/PRKACA/SH2B3/GPR35/NOL3/NMI/JAK3/IRAK3/LILRB4/MUL1/IL1RL2/CSF2RA/TNFRSF11A/IL4R/IFNGR1/WBP1L/IL17RA/TICAM2/TOLLIP/LILRB3/CD300LF/LILRA2/LILRA6/LILRB5/EXT1/PTPRJ/IL10RB/IFNGR2/F2RL1/IFNAR2/IL13RA1/IL1RAP/PLP2	80	PPI_node
GO:0006898	GO:0006898	receptor-mediated endocytosis	52/1376	257/18903	1.1691010782299e-11	2.16095134782495e-09	1.54146671876629e-09	LRP1/CAP1/PPT1/RAB5A/ARF1/CD36/SCARF1/CBL/CXCR2/HIP1/SNCA/RAC1/ITGB2/FLOT1/TGFBR2/SYK/CD63/ITGAM/DLG4/GRB2/PDLIM7/UNC119/LRPAP1/CD14/ADM/RAMP1/ARRB2/FCHO2/FCHO1/RAB31/PPP3R1/CEACAM1/CXCR1/FCGR1A/SDCBP/SORL1/CLTB/IGF2R/PICALM/CLTCL1/ARHGAP27/DRD3/ASGR1/HFE/PLCG2/LILRB4/BMP2K/NUMB/RIN3/STAB1/TPCN2/RALB	52	PPI_node
GO:0030099	GO:0030099	myeloid cell differentiation	69/1376	407/18903	3.13587995243754e-11	4.85637625066679e-09	3.46418829454196e-09	TLR4/CDC42/STAT3/SBNO2/MAEA/G6PD/NFKBIA/TGFB1/SPI1/MAPK14/JAG1/NOTCH2/STAT5B/FADD/CEBPB/HCLS1/PSEN1/RBPJ/ZFP36/PIK3CD/HSPA1B/TET2/BCL6/TGFBR2/LYN/HSPA1A/FOXO3/MMP9/ACTN1/TYROBP/EVI2B/ADAR/LBR/PPP3CA/RCOR1/CEACAM1/RARA/PTPN6/LTBR/CLEC5A/CSF3R/KCNQ1/NEDD9/SH2B3/GAB2/TFE3/TCIRG1/JAK3/JUNB/LILRB4/RASGRP4/THOC5/CBFA2T3/TAL1/TNFRSF11A/OSCAR/LILRB3/FES/LRRK1/TRIB1/TRIM58/SNX10/DHRS7B/ESRRA/F2RL1/FAM20C/RASSF2/ZFP36L1/NBEAL2	69	PPI_node
GO:0022411	GO:0022411	cellular component disassembly	77/1376	483/18903	4.93338300756111e-11	7.06707115833129e-09	5.04113847851574e-09	LRP1/IGF1R/PNPLA2/PLIN3/SMARCD3/MFN2/FUNDC2/HK2/GABARAPL2/TGFB1/TSG101/MAP1LC3B/ATG3/TWF2/GABARAP/CAMKK2/FGF13/ULK1/FLII/GSK3B/ATG7/SVIL/CAPZA2/FLOT1/FURIN/PPP1R9B/LAMP2/APAF1/SQSTM1/ITGAM/MMP9/LCP1/GSN/CFL1/TRIOBP/ADAM15/SH3PXD2B/ADAM8/ADAMTS5/UPF1/TMOD1/CTSS/CHMP1A/ST20/SHARPIN/CHMP4B/IQSEC1/ARHGEF2/NEDD9/MARK2/CAPG/MID1IP1/ASPH/MAP1LC3B2/VMP1/BNIP3L/TRPV4/GSK3A/PLK3/IRAK3/NDEL1/NEK6/DUSP3/MUL1/DHX8/SH3GL1/CHMP2A/DEDD2/NCKAP5L/TRIM58/NFE2/MAP4K4/TOM1/F2RL1/FRAT1/PELO/PHF23	77	PPI_node
GO:0043300	GO:0043300	regulation of leukocyte degranulation	20/1376	49/18903	5.58112550455498e-11	7.79996320514635e-09	5.5639307661584e-09	LAMP1/SPI1/RAC2/CCR2/ITGB2/SYK/LYN/ITGAM/FGR/CEACAM1/STXBP2/GAB2/UNC13D/PTAFR/IL4R/CD300A/LGALS9/FES/PRAM1/F2RL1	20	PPI_node
GO:0050777	GO:0050777	negative regulation of immune response	42/1376	190/18903	6.04148764124542e-11	8.24231528198482e-09	5.8794728097634e-09	NR1H2/PTPRC/GRN/SPI1/MAPK14/CCR2/NOD2/FURIN/BCL6/SYK/LYN/HCK/ADAR/HLA-B/HLA-E/ARRB2/NLRX1/FGR/CEACAM1/CD59/CR1/FGL2/KLRC1/CRK/PTPN6/VSIG4/CD55/HFE/IL4I1/NMI/JAK3/IRAK3/LILRB4/MUL1/IL4R/ZBTB7B/CD300A/LGALS9/CR1L/TRIM21/HLX/ZDHHC18	42	PPI_node
GO:0071216	GO:0071216	cellular response to biotic stimulus	51/1376	261/18903	7.02274893666618e-11	9.00012181160738e-09	6.42003729116772e-09	TNIP1/CD68/TLR4/MAPK3/NOTCH1/SBNO2/CD36/NFKBIA/TGFB1/SPI1/MAPK14/NOTCH2/NOD2/CEBPB/GSK3B/NLRP3/ZFP36/TLR6/TLR1/SYK/LYN/TLR9/CCL5/APAF1/HCK/VIM/DDIT3/MYD88/BCL2L11/RHOA/ADAM9/CD14/LILRB2/TNFRSF1B/CDA/UPF1/CAMP/CLEC7A/RARA/SIRPA/BCL10/CD55/ARID5A/PTAFR/NFKBIL1/PLCG2/CDK19/TICAM2/LILRA2/TRIB1/LITAF	51	PPI_node
GO:2000379	GO:2000379	positive regulation of reactive oxygen species metabolic process	24/1376	71/18903	7.62014370938181e-11	9.49204857712126e-09	6.77094233948045e-09	TLR4/CYP1B1/CD36/SOD2/TGFB1/MAPK14/CYBA/GNAI2/SNCA/ITGB2/TLR6/TGFBR2/SYK/NFE2L2/FOXO3/PRKCD/ITGAM/GRB2/TYROBP/CLEC7A/FPR2/GNAI3/PLCG2/F2RL1	24	PPI_node
GO:0007015	GO:0007015	actin filament organization	73/1376	454/18903	1.05939833789419e-10	1.29156435662419e-08	9.2130878970731e-09	MYADM/CDC42/ARFIP1/ARF1/CORO1A/ARPC3/VASP/RAC2/ARPC1A/SLC9A1/PXN/RHOB/PAK1/DBN1/ARPC5/TWF2/CTNNA1/BAIAP2/HCLS1/ZYX/FLII/HIP1/MYO1F/SVIL/RAC1/MYO7A/PSTPIP1/CAPZA2/PPP1R9B/HCK/PRKCD/CYFIP1/CORO1C/LCP1/ARPC4/ARPC1B/GRB2/GSN/WAS/ACTN1/RHOA/CFL1/PREX1/TRIOBP/SSH2/RAPGEF3/TMOD1/ARAP1/ARHGAP25/ARHGEF2/NEDD9/GAS7/PAK2/RHOG/GMFG/ARHGEF10L/LPAR1/CDC42EP1/CAPG/TRPV4/ID1/CDC42EP4/CASS4/CDC42EP3/CATIP/SSH3/PPM1F/F11R/F2RL1/MSRB2/PHACTR1/MSRB1/SHROOM1	73	PPI_node
GO:0042554	GO:0042554	superoxide anion generation	18/1376	43/18903	3.10650632737735e-10	3.23641477379495e-08	2.30862470224043e-08	SOD2/TGFB1/CYBA/NCF1/GNAI2/ITGB2/NCF4/NCF2/SYK/PRKCD/ITGAM/CYBB/SH3PXD2B/TYROBP/CLEC7A/FPR2/GNAI3/F2RL1	18	PPI_node
GO:0051258	GO:0051258	protein polymerization	52/1376	281/18903	3.60958048084036e-10	3.56601657848539e-08	2.54373883976463e-08	MYADM/CORO1A/ARPC3/MAPRE3/VASP/ARPC1A/PAK1/DBN1/ARPC5/TWF2/BAIAP2/HCLS1/FGF13/FLII/SNCA/SVIL/RAC1/HSPA1B/PSTPIP1/CAPZA2/HSPA1A/HCK/PRKCD/CYFIP1/ARPC4/ARPC1B/GRB2/GSN/WAS/RHOA/PREX1/TRIOBP/RNF135/SSH2/TMOD1/PSRC1/CHMP4B/GAS7/CDC42EP1/CAPG/MID1IP1/TRPV4/NDEL1/NDE1/CDC42EP4/CDC42EP3/CATIP/CHMP2A/FES/SSH3/MSRB2/MSRB1	52	PPI_node
GO:0050863	GO:0050863	regulation of T cell activation	63/1376	376/18903	3.73705517604933e-10	3.62937731504452e-08	2.58893581598565e-08	ACTB/PTPRC/PTEN/SMARCD3/CORO1A/IRF1/RAC2/CCR2/STAT5B/NOD2/FADD/CEBPB/NLRP3/VAV1/FLOT2/GLI3/BCL6/TGFBR2/SYK/LYN/CCL5/FOXO3/RHOA/CSK/ADAM8/LILRB2/TNFRSF1B/HLA-E/ADORA2A/FCHO1/NFKBIZ/LAPTM5/TNFAIP8L2/PPP3CA/CEACAM1/RARA/CR1/CD1D/BID/FGL2/SIRPA/BCL10/PTPN6/VSIG4/TNFSF14/CD55/SOS2/SIRPB1/HFE/TNFRSF9/IL4I1/PELI1/JAK3/PRKAR1A/JUNB/LILRB4/DUSP3/IL1RL2/IL4R/ZBTB7B/CD300A/LGALS9/HLX	63	PPI_node
GO:0002237	GO:0002237	response to molecule of bacterial origin	61/1376	360/18903	4.5028615964172e-10	4.30023282457843e-08	3.06747571559439e-08	TNIP1/CD68/TLR4/MAPK3/NOTCH1/SBNO2/CD36/SOD2/NFKBIA/TGFB1/SPI1/MAPK14/IFNAR1/NOD2/CEBPB/NLRP3/SNCA/ZFP36/S100A8/TLR6/TLR1/LYN/TLR9/CCL5/HCK/VIM/MYD88/PTGS2/RHOA/ADAM9/CD14/LILRB2/TNFRSF1B/UPF1/ADM/CAMP/AKIRIN2/MAPKAPK2/CSF2RB/RARA/SLC11A1/SIRPA/BCL10/CD55/MAPKAPK3/JUND/ARID5A/C5AR1/PTAFR/NFKBIL1/PELI1/PLCG2/IRAK3/TNFRSF11A/CDK19/TICAM2/THBD/LILRA2/LGALS9/TRIB1/LITAF	61	PPI_node
